,object,image,state,adj
0,stapler,stapler_open.jpg,a,open
1,mirror,mirror_whole.jpg,b,whole
2,nail,nail_bent.jpg,a,bent
3,paperclip,paperclip_bent.jpg,a,bent
4,magnet,magnet_bent.jpg,a,bent
5,road,road_curved.jpg,a,curved
6,staircase,staircase_curved.jpg,a,curved
7,boot,boot_dirty.jpg,a,dirty
8,dish,dish_dirty.jpg,a,dirty
9,safetypin,safetypin_straight.jpg,b,straight
10,pencil,pencil_whole.jpg,b,whole
11,banana,banana_peeled.jpg,a,peeled
12,carrot,carrot_peeled.jpg,a,peeled
13,bill,bill_rolled.jpg,a,rolled
14,rug,rug_rolled.jpg,a,rolled
15,sleepingbag,sleepingbag_rolled.jpg,a,rolled
16,yogamat,yogamat_rolled.jpg,a,rolled
17,straw,straw_bent.jpg,a,bent
18,waterpipe,waterpipe_bent.jpg,a,bent
19,cup,cup_clean.jpg,b,clean
20,apple,apple_unsliced.jpg,b,unsliced
21,bread,bread_unsliced.jpg,b,unsliced
22,garlic,garlic_unpeeled.jpg,b,unpeeled
23,banana,banana_unpeeled.jpg,b,unpeeled
24,pineapple,pineapple_unsliced.jpg,b,unsliced
25,orange,orange_unpeeled.jpg,b,unpeeled
26,onion,onion_unpeeled.jpg,b,unpeeled
27,napkin,napkin_unfolded.jpg,b,unfolded
28,gloves,gloves_clean.jpg,b,clean
29,spoon,spoon_clean.jpg,b,clean
30,treasurechest,treasurechest_closed.jpg,b,closed
31,pot,pot_closed.jpg,b,closed
32,can,can_open.jpg,a,open
33,backpack,backpack_open.jpg,a,open
34,waterbottle,waterbottle_open.jpg,a,open
35,safetypin,safetypin_bent.jpg,a,bent
36,car,car_dirty.jpg,a,dirty
37,sugarpacket,sugarpacket_whole.jpg,b,whole
38,yogamat,yogamat_unrolled.jpg,b,unrolled
39,sleepingbag,sleepingbag_unrolled.jpg,b,unrolled
40,sweater,sweater_unfolded.jpg,b,unfolded
41,pizza,pizza_unsliced.jpg,b,unsliced
42,watermelon,watermelon_unsliced.jpg,b,unsliced
43,chapstick,chapstick_open.jpg,a,open
44,laptop,laptop_open.jpg,a,open
45,hands,hands_dirty.jpg,a,dirty
46,soccerball,soccerball_dirty.jpg,a,dirty
47,laptop,laptop_closed.jpg,b,closed
48,marker,marker_closed.jpg,b,closed
49,stovetop,stovetop_dirty.jpg,a,dirty
50,spoon,spoon_dirty.jpg,a,dirty
51,bucket,bucket_dirty.jpg,a,dirty
52,car,car_clean.jpg,b,clean
53,stovetop,stovetop_clean.jpg,b,clean
54,cabinet,cabinet_closed.jpg,b,closed
55,stapler,stapler_closed.jpg,b,closed
56,dishwasher,dishwasher_closed.jpg,b,closed
57,egg,egg_whole.jpg,b,whole
58,wallet,wallet_closed.jpg,b,closed
59,waterpipe,waterpipe_straight.jpg,b,straight
60,straw,straw_straight.jpg,b,straight
61,cigarette,cigarette_broken.jpg,a,broken
62,dishwasher,dishwasher_open.jpg,a,open
63,door,door_open.jpg,a,open
64,chestofdrawers,chestofdrawers_open.jpg,a,open
65,filefolder,filefolder_open.jpg,a,open
66,fridge,fridge_open.jpg,a,open
67,juicebottle,juicebottle_open.jpg,a,open
68,gate,gate_open.jpg,a,open
69,lawnchair,lawnchair_unfolded.jpg,b,unfolded
70,suitcase,suitcase_closed.jpg,b,closed
71,wineglass,wineglass_empty.jpg,a,empty
72,naan,naan_ripped.jpg,a,ripped
73,eye,eye_open.jpg,a,open
74,treasurechest,treasurechest_open.jpg,a,open
75,pot,pot_open.jpg,a,open
76,pizza,pizza_sliced.jpg,a,sliced
77,kiwi,kiwi_sliced.jpg,a,sliced
78,lock,lock_open.jpg,a,open
79,microwave,microwave_open.jpg,a,open
80,cdplayer,cdplayer_open.jpg,a,open
81,wallet,wallet_open.jpg,a,open
82,suitcase,suitcase_open.jpg,a,open
83,marker,marker_open.jpg,a,open
84,scissors,scissors_open.jpg,a,open
85,lime,lime_sliced.jpg,a,sliced
86,pickle,pickle_sliced.jpg,a,sliced
87,watermelon,watermelon_sliced.jpg,a,sliced
88,salami,salami_sliced.jpg,a,sliced
89,pineapple,pineapple_sliced.jpg,a,sliced
90,bread,bread_sliced.jpg,a,sliced
91,apple,apple_sliced.jpg,a,sliced
92,garlic,garlic_peeled.jpg,a,peeled
93,orange,orange_peeled.jpg,a,peeled
94,pig,pig_clean.jpg,b,clean
95,jar,jar_empty.jpg,a,empty
96,rug,rug_unrolled.jpg,b,unrolled
97,bill,bill_unrolled.jpg,b,unrolled
98,shoelace,shoelace_untied.jpg,b,untied
99,piggybank,piggybank_broken.jpg,a,broken
100,pencil,pencil_broken.jpg,a,broken
101,plate,plate_broken.jpg,a,broken
102,table,table_broken.jpg,a,broken
103,gate,gate_closed.jpg,b,closed
104,lock,lock_closed.jpg,b,closed
105,hamper,hamper_empty.jpg,a,empty
106,fence,fence_whole.jpg,b,whole
107,seatbelt,seatbelt_open.jpg,a,open
108,road,road_straight.jpg,b,straight
109,magnet,magnet_straight.jpg,b,straight
110,staircase,staircase_straight.jpg,b,straight
111,boot,boot_clean.jpg,b,clean
112,dish,dish_clean.jpg,b,clean
113,bucket,bucket_clean.jpg,b,clean
114,shoe,shoe_clean.jpg,b,clean
115,nail,nail_straight.jpg,b,straight
116,ladder,ladder_unfolded.jpg,b,unfolded
117,chocolatebar,chocolatebar_whole.jpg,b,whole
118,cracker,cracker_whole.jpg,b,whole
119,envelope,envelope_whole.jpg,b,whole
120,chain,chain_whole.jpg,b,whole
121,gloves,gloves_dirty.jpg,a,dirty
122,shoe,shoe_dirty.jpg,a,dirty
123,cup,cup_dirty.jpg,a,dirty
124,potato,potato_dirty.jpg,a,dirty
125,couch,couch_dirty.jpg,a,dirty
126,pig,pig_dirty.jpg,a,dirty
127,cookie,cookie_broken.jpg,a,broken
128,pickle,pickle_unsliced.jpg,b,unsliced
129,salami,salami_unsliced.jpg,b,unsliced
130,glasses,glasses_whole.jpg,b,whole
131,cracker,cracker_broken.jpg,a,broken
132,chocolatebar,chocolatebar_broken.jpg,a,broken
133,vase,vase_whole.jpg,b,whole
134,garbagecan,garbagecan_full.jpg,b,full
135,carrot,carrot_unpeeled.jpg,b,unpeeled
136,lime,lime_unsliced.jpg,b,unsliced
137,blanket,blanket_unfolded.jpg,b,unfolded
138,backpack,backpack_closed.jpg,b,closed
139,can,can_closed.jpg,b,closed
140,waterbottle,waterbottle_closed.jpg,b,closed
141,towel,towel_unfolded.jpg,b,unfolded
142,glasses,glasses_broken.jpg,a,broken
143,vase,vase_broken.jpg,a,broken
144,egg,egg_broken.jpg,a,broken
145,fence,fence_broken.jpg,a,broken
146,hands,hands_clean.jpg,b,clean
147,soccerball,soccerball_clean.jpg,b,clean
148,eggcarton,eggcarton_full.jpg,b,full
149,hamper,hamper_full.jpg,b,full
150,jar,jar_full.jpg,b,full
151,potato,potato_clean.jpg,b,clean
152,fridge,fridge_closed.jpg,b,closed
153,cookie,cookie_whole.jpg,b,whole
154,couch,couch_clean.jpg,b,clean
155,paperclip,paperclip_straight.jpg,b,straight
156,tire,tire_whole.jpg,b,whole
157,paper,paper_unfolded.jpg,b,unfolded
158,eye,eye_closed.jpg,b,closed
159,scissors,scissors_closed.jpg,b,closed
160,chapstick,chapstick_closed.jpg,b,closed
161,ladder,ladder_folded.jpg,a,folded
162,lawnchair,lawnchair_folded.jpg,a,folded
163,shoelace,shoelace_tied.jpg,a,tied
164,mirror,mirror_broken.jpg,a,broken
165,tire,tire_broken.jpg,a,broken
166,chain,chain_broken.jpg,a,broken
167,juicebottle,juicebottle_closed.jpg,b,closed
168,table,table_whole.jpg,b,whole
169,plate,plate_whole.jpg,b,whole
