,Unnamed: 0,object,image,state,adj,words_w2v
0,178,suitcase,suitcase_closed.jpg,b,closed,suitcase
1,200,lime,lime_unsliced.jpg,b,unsliced,lime
2,27,cdplayer,cdplayer_open.jpg,a,open,cd player
3,56,pineapple,pineapple_sliced.jpg,a,sliced,pineapple
4,161,dishwasher,dishwasher_closed.jpg,b,closed,dishwasher
5,3,book,book_open.jpg,a,open,book
6,34,chapstick,chapstick_open.jpg,a,open,chapstick
7,76,bill,bill_rolled.jpg,a,rolled,bill
8,276,tire,tire_whole.jpg,b,whole,tire
9,146,wineglass,wineglass_empty.jpg,a,empty,wineglass
10,295,shoppingcart,shoppingcart_full.jpg,b,full,shopping cart
11,285,envelope,envelope_whole.jpg,b,whole,envelope
12,61,banana,banana_peeled.jpg,a,peeled,banana
13,195,treasurechest,treasurechest_closed.jpg,b,closed,treasure chest
14,128,tire,tire_broken.jpg,a,broken,tire
15,272,glasses,glasses_whole.jpg,b,whole,glasses
16,241,road,road_straight.jpg,b,straight,road
17,211,orange,orange_unpeeled.jpg,b,unpeeled,orange
18,199,kiwi,kiwi_unsliced.jpg,b,unsliced,kiwi
19,177,wallet,wallet_closed.jpg,b,closed,wallet
20,113,potato,potato_dirty.jpg,a,dirty,potato
21,79,straw,straw_bent.jpg,a,bent,straw
22,121,cracker,cracker_broken.jpg,a,broken,cracker
23,109,shoe,shoe_dirty.jpg,a,dirty,shoe
24,22,gate,gate_open.jpg,a,open,gate
25,294,wineglass,wineglass_full.jpg,b,full,wineglass
26,269,cracker,cracker_whole.jpg,b,whole,cracker
27,8,can,can_open.jpg,a,open,can
28,163,stapler,stapler_closed.jpg,b,closed,stapler
29,208,garlic,garlic_unpeeled.jpg,b,unpeeled,garlic
30,30,suitcase,suitcase_open.jpg,a,open,suitcase
31,273,egg,egg_whole.jpg,b,whole,egg
32,234,paperclip,paperclip_straight.jpg,b,straight,paperclip
33,244,staircase,staircase_straight.jpg,b,straight,staircase
34,203,salami,salami_unsliced.jpg,b,unsliced,salami
35,81,waterpipe,waterpipe_bent.jpg,a,bent,waterpipe
36,224,bill,bill_unrolled.jpg,b,unrolled,bill
37,65,blanket,blanket_folded.jpg,a,folded,blanket
38,246,dish,dish_clean.jpg,b,clean,dish
39,62,carrot,carrot_peeled.jpg,a,peeled,carrot
40,37,marker,marker_open.jpg,a,open,marker
41,71,ladder,ladder_folded.jpg,a,folded,ladder
42,150,seatbelt,seatbelt_closed.jpg,b,closed,seatbelt
43,268,cookie,cookie_whole.jpg,b,whole,cookie
44,220,lawnchair,lawnchair_unfolded.jpg,b,unfolded,lawnchair
45,206,apple,apple_unsliced.jpg,b,unsliced,apple
46,68,sweater,sweater_folded.jpg,a,folded,sweater
47,291,garbagecan,garbagecan_full.jpg,b,full,garbage can
48,226,yogamat,yogamat_unrolled.jpg,b,unrolled,yoga mat
49,107,stovetop,stovetop_dirty.jpg,a,dirty,stovetop
50,210,carrot,carrot_unpeeled.jpg,b,unpeeled,carrot
51,97,boot,boot_dirty.jpg,a,dirty,boot
52,197,pot,pot_closed.jpg,b,closed,pot
53,223,rug,rug_unrolled.jpg,b,unrolled,rug
54,67,paper,paper_folded.jpg,a,folded,paper
55,141,chipbag,chipbag_ripped.jpg,a,ripped,chip bag
56,127,mirror,mirror_broken.jpg,a,broken,mirror
57,123,vase,vase_broken.jpg,a,broken,vase
58,140,notepad,notepad_ripped.jpg,a,ripped,notepad
59,275,mirror,mirror_whole.jpg,b,whole,mirror
60,239,magnet,magnet_straight.jpg,b,straight,magnet
61,105,spoon,spoon_dirty.jpg,a,dirty,spoon
62,131,piggybank,piggybank_broken.jpg,a,broken,piggybank
63,227,straw,straw_straight.jpg,b,straight,straw
64,147,shoppingcart,shoppingcart_empty.jpg,a,empty,shopping cart
65,135,chain,chain_broken.jpg,a,broken,chain
66,57,bread,bread_sliced.jpg,a,sliced,bread
67,251,gloves,gloves_clean.jpg,b,clean,gloves
68,166,filefolder,filefolder_closed.jpg,b,closed,file folder
69,261,potato,potato_clean.jpg,b,clean,potato
70,271,vase,vase_whole.jpg,b,whole,vase
