,Unnamed: 0,object,image,state,adj,words_w2v
0,288,notepad,notepad_whole.jpg,b,whole,notepad
1,255,stovetop,stovetop_clean.jpg,b,clean,stovetop
2,163,stapler,stapler_closed.jpg,b,closed,stapler
3,11,cabinet,cabinet_open.jpg,a,open,cabinet
4,124,glasses,glasses_broken.jpg,a,broken,glasses
5,271,vase,vase_whole.jpg,b,whole,vase
6,184,laptop,laptop_closed.jpg,b,closed,laptop
7,60,garlic,garlic_peeled.jpg,a,peeled,garlic
8,275,mirror,mirror_whole.jpg,b,whole,mirror
9,19,fridge,fridge_open.jpg,a,open,fridge
10,103,gloves,gloves_dirty.jpg,a,dirty,gloves
11,115,pig,pig_dirty.jpg,a,dirty,pig
12,277,cigarette,cigarette_whole.jpg,b,whole,cigarette
13,261,potato,potato_clean.jpg,b,clean,potato
14,70,towel,towel_folded.jpg,a,folded,towel
15,269,cracker,cracker_whole.jpg,b,whole,cracker
16,285,envelope,envelope_whole.jpg,b,whole,envelope
17,257,shoe,shoe_clean.jpg,b,clean,shoe
18,204,pineapple,pineapple_unsliced.jpg,b,unsliced,pineapple
19,13,dishwasher,dishwasher_open.jpg,a,open,dishwasher
20,109,shoe,shoe_dirty.jpg,a,dirty,shoe
21,4,milkcarton,milkcarton_open.jpg,a,open,milk carton
22,81,waterpipe,waterpipe_bent.jpg,a,bent,waterpipe
23,21,juicebottle,juicebottle_open.jpg,a,open,juice bottle
24,84,nail,nail_bent.jpg,a,bent,nail
25,146,wineglass,wineglass_empty.jpg,a,empty,wineglass
26,231,safetypin,safetypin_straight.jpg,b,straight,safety pin
27,120,cookie,cookie_broken.jpg,a,broken,cookie
28,52,lime,lime_sliced.jpg,a,sliced,lime
29,158,waterbottle,waterbottle_closed.jpg,b,closed,waterbottle
30,205,bread,bread_unsliced.jpg,b,unsliced,bread
31,197,pot,pot_closed.jpg,b,closed,pot
32,150,seatbelt,seatbelt_closed.jpg,b,closed,seatbelt
33,105,spoon,spoon_dirty.jpg,a,dirty,spoon
34,29,wallet,wallet_open.jpg,a,open,wallet
35,201,pickle,pickle_unsliced.jpg,b,unsliced,pickle
36,72,lawnchair,lawnchair_folded.jpg,a,folded,lawnchair
37,239,magnet,magnet_straight.jpg,b,straight,magnet
38,217,napkin,napkin_unfolded.jpg,b,unfolded,napkin
39,37,marker,marker_open.jpg,a,open,marker
40,62,carrot,carrot_peeled.jpg,a,peeled,carrot
41,126,fence,fence_broken.jpg,a,broken,fence
42,290,jar,jar_full.jpg,b,full,jar
43,63,orange,orange_peeled.jpg,a,peeled,orange
44,157,backpack,backpack_closed.jpg,b,closed,backpack
45,281,plate,plate_whole.jpg,b,whole,plate
46,51,kiwi,kiwi_sliced.jpg,a,sliced,kiwi
47,169,juicebottle,juicebottle_closed.jpg,b,closed,juice bottle
48,259,hands,hands_clean.jpg,b,clean,hands
49,293,eggcarton,eggcarton_full.jpg,b,full,egg carton
50,17,chestofdrawers,chestofdrawers_open.jpg,a,open,chest of drawers
51,191,eye,eye_closed.jpg,b,closed,eye
52,260,soccerball,soccerball_clean.jpg,b,clean,soccerball
53,247,car,car_clean.jpg,b,clean,car
54,22,gate,gate_open.jpg,a,open,gate
55,68,sweater,sweater_folded.jpg,a,folded,sweater
56,224,bill,bill_unrolled.jpg,b,unrolled,bill
57,142,jar,jar_empty.jpg,a,empty,jar
58,111,hands,hands_dirty.jpg,a,dirty,hands
59,113,potato,potato_dirty.jpg,a,dirty,potato
60,30,suitcase,suitcase_open.jpg,a,open,suitcase
61,97,boot,boot_dirty.jpg,a,dirty,boot
62,2,seatbelt,seatbelt_open.jpg,a,open,seatbelt
63,36,laptop,laptop_open.jpg,a,open,laptop
64,123,vase,vase_broken.jpg,a,broken,vase
65,234,paperclip,paperclip_straight.jpg,b,straight,paperclip
66,244,staircase,staircase_straight.jpg,b,straight,staircase
67,26,microwave,microwave_open.jpg,a,open,microwave
68,185,marker,marker_closed.jpg,b,closed,marker
69,15,stapler,stapler_open.jpg,a,open,stapler
70,131,piggybank,piggybank_broken.jpg,a,broken,piggybank
71,232,nail,nail_straight.jpg,b,straight,nail
72,220,lawnchair,lawnchair_unfolded.jpg,b,unfolded,lawnchair
73,279,piggybank,piggybank_whole.jpg,b,whole,piggybank
74,134,table,table_broken.jpg,a,broken,table
75,227,straw,straw_straight.jpg,b,straight,straw
76,98,dish,dish_dirty.jpg,a,dirty,dish
77,114,couch,couch_dirty.jpg,a,dirty,couch
78,39,scissors,scissors_open.jpg,a,open,scissors
79,198,pizza,pizza_unsliced.jpg,b,unsliced,pizza
80,125,egg,egg_broken.jpg,a,broken,egg
81,71,ladder,ladder_folded.jpg,a,folded,ladder
82,79,straw,straw_bent.jpg,a,bent,straw
83,203,salami,salami_unsliced.jpg,b,unsliced,salami
84,49,pot,pot_open.jpg,a,open,pot
85,241,road,road_straight.jpg,b,straight,road
86,225,sleepingbag,sleepingbag_unrolled.jpg,b,unrolled,sleeping bag
87,170,gate,gate_closed.jpg,b,closed,gate
88,273,egg,egg_whole.jpg,b,whole,egg
89,50,pizza,pizza_sliced.jpg,a,sliced,pizza
90,294,wineglass,wineglass_full.jpg,b,full,wineglass
91,219,ladder,ladder_unfolded.jpg,b,unfolded,ladder
92,268,cookie,cookie_whole.jpg,b,whole,cookie
93,218,towel,towel_unfolded.jpg,b,unfolded,towel
94,200,lime,lime_unsliced.jpg,b,unsliced,lime
95,16,door,door_open.jpg,a,open,door
96,108,bucket,bucket_dirty.jpg,a,dirty,bucket
97,53,pickle,pickle_sliced.jpg,a,sliced,pickle
98,175,cdplayer,cdplayer_closed.jpg,b,closed,cd player
99,34,chapstick,chapstick_open.jpg,a,open,chapstick
100,171,lock,lock_closed.jpg,b,closed,lock
101,76,bill,bill_rolled.jpg,a,rolled,bill
102,289,chipbag,chipbag_whole.jpg,b,whole,chip bag
103,276,tire,tire_whole.jpg,b,whole,tire
104,122,chocolatebar,chocolatebar_broken.jpg,a,broken,chocolate bar
105,93,road,road_curved.jpg,a,curved,road
106,129,cigarette,cigarette_broken.jpg,a,broken,cigarette
107,67,paper,paper_folded.jpg,a,folded,paper
108,121,cracker,cracker_broken.jpg,a,broken,cracker
109,177,wallet,wallet_closed.jpg,b,closed,wallet
110,138,naan,naan_ripped.jpg,a,ripped,naan
111,127,mirror,mirror_broken.jpg,a,broken,mirror
112,262,couch,couch_clean.jpg,b,clean,couch
113,156,can,can_closed.jpg,b,closed,can
114,278,pencil,pencil_whole.jpg,b,whole,pencil
115,167,fridge,fridge_closed.jpg,b,closed,fridge
116,23,lock,lock_open.jpg,a,open,lock
117,56,pineapple,pineapple_sliced.jpg,a,sliced,pineapple
118,112,soccerball,soccerball_dirty.jpg,a,dirty,soccerball
119,287,sugarpacket,sugarpacket_whole.jpg,b,whole,sugar packet
120,222,shoelace,shoelace_untied.jpg,b,untied,shoelace
121,139,sugarpacket,sugarpacket_ripped.jpg,a,ripped,sugar packet
122,9,backpack,backpack_open.jpg,a,open,backpack
123,143,garbagecan,garbagecan_empty.jpg,a,empty,garbage can
124,174,microwave,microwave_closed.jpg,b,closed,microwave
125,270,chocolatebar,chocolatebar_whole.jpg,b,whole,chocolate bar
126,178,suitcase,suitcase_closed.jpg,b,closed,suitcase
127,69,napkin,napkin_folded.jpg,a,folded,napkin
128,226,yogamat,yogamat_unrolled.jpg,b,unrolled,yoga mat
129,54,watermelon,watermelon_sliced.jpg,a,sliced,watermelon
130,147,shoppingcart,shoppingcart_empty.jpg,a,empty,shopping cart
131,8,can,can_open.jpg,a,open,can
132,253,spoon,spoon_clean.jpg,b,clean,spoon
133,211,orange,orange_unpeeled.jpg,b,unpeeled,orange
134,161,dishwasher,dishwasher_closed.jpg,b,closed,dishwasher
135,140,notepad,notepad_ripped.jpg,a,ripped,notepad
136,258,cup,cup_clean.jpg,b,clean,cup
137,215,paper,paper_unfolded.jpg,b,unfolded,paper
138,43,eye,eye_open.jpg,a,open,eye
139,292,hamper,hamper_full.jpg,b,full,hamper
140,286,naan,naan_whole.jpg,b,whole,naan
141,282,table,table_whole.jpg,b,whole,table
142,99,car,car_dirty.jpg,a,dirty,car
143,274,fence,fence_whole.jpg,b,whole,fence
144,27,cdplayer,cdplayer_open.jpg,a,open,cd player
145,263,pig,pig_clean.jpg,b,clean,pig
146,291,garbagecan,garbagecan_full.jpg,b,full,garbage can
147,91,magnet,magnet_bent.jpg,a,bent,magnet
148,141,chipbag,chipbag_ripped.jpg,a,ripped,chip bag
149,107,stovetop,stovetop_dirty.jpg,a,dirty,stovetop
150,65,blanket,blanket_folded.jpg,a,folded,blanket
151,74,shoelace,shoelace_tied.jpg,a,tied,shoelace
152,182,chapstick,chapstick_closed.jpg,b,closed,chapstick
153,137,envelope,envelope_ripped.jpg,a,ripped,envelope
154,187,scissors,scissors_closed.jpg,b,closed,scissors
155,202,watermelon,watermelon_unsliced.jpg,b,unsliced,watermelon
156,110,cup,cup_dirty.jpg,a,dirty,cup
157,55,salami,salami_sliced.jpg,a,sliced,salami
158,213,blanket,blanket_unfolded.jpg,b,unfolded,blanket
159,166,filefolder,filefolder_closed.jpg,b,closed,file folder
160,206,apple,apple_unsliced.jpg,b,unsliced,apple
161,272,glasses,glasses_whole.jpg,b,whole,glasses
162,165,chestofdrawers,chestofdrawers_closed.jpg,b,closed,chest of drawers
163,144,hamper,hamper_empty.jpg,a,empty,hamper
164,159,cabinet,cabinet_closed.jpg,b,closed,cabinet
165,216,sweater,sweater_unfolded.jpg,b,unfolded,sweater
166,208,garlic,garlic_unpeeled.jpg,b,unpeeled,garlic
167,10,waterbottle,waterbottle_open.jpg,a,open,waterbottle
168,212,onion,onion_unpeeled.jpg,b,unpeeled,onion
169,256,bucket,bucket_clean.jpg,b,clean,bucket
170,86,paperclip,paperclip_bent.jpg,a,bent,paperclip
171,57,bread,bread_sliced.jpg,a,sliced,bread
172,47,treasurechest,treasurechest_open.jpg,a,open,treasure chest
173,18,filefolder,filefolder_open.jpg,a,open,file folder
174,61,banana,banana_peeled.jpg,a,peeled,banana
175,83,safetypin,safetypin_bent.jpg,a,bent,safety pin
176,151,book,book_closed.jpg,b,closed,book
177,145,eggcarton,eggcarton_empty.jpg,a,empty,egg carton
178,135,chain,chain_broken.jpg,a,broken,chain
179,164,door,door_closed.jpg,b,closed,door
180,75,rug,rug_rolled.jpg,a,rolled,rug
181,58,apple,apple_sliced.jpg,a,sliced,apple
182,283,chain,chain_whole.jpg,b,whole,chain
183,3,book,book_open.jpg,a,open,book
184,64,onion,onion_peeled.jpg,a,peeled,onion
185,199,kiwi,kiwi_unsliced.jpg,b,unsliced,kiwi
186,78,yogamat,yogamat_rolled.jpg,a,rolled,yoga mat
187,210,carrot,carrot_unpeeled.jpg,b,unpeeled,carrot
188,130,pencil,pencil_broken.jpg,a,broken,pencil
189,229,waterpipe,waterpipe_straight.jpg,b,straight,waterpipe
190,195,treasurechest,treasurechest_closed.jpg,b,closed,treasure chest
191,251,gloves,gloves_clean.jpg,b,clean,gloves
192,133,plate,plate_broken.jpg,a,broken,plate
193,223,rug,rug_unrolled.jpg,b,unrolled,rug
194,246,dish,dish_clean.jpg,b,clean,dish
195,295,shoppingcart,shoppingcart_full.jpg,b,full,shopping cart
196,128,tire,tire_broken.jpg,a,broken,tire
197,152,milkcarton,milkcarton_closed.jpg,b,closed,milk carton
198,245,boot,boot_clean.jpg,b,clean,boot
199,96,staircase,staircase_curved.jpg,a,curved,staircase
200,209,banana,banana_unpeeled.jpg,b,unpeeled,banana
201,77,sleepingbag,sleepingbag_rolled.jpg,a,rolled,sleeping bag
