,object,image,state,adj
0,napkin,napkin_unfolded.jpg,b,unfolded
1,paper,paper_unfolded.jpg,b,unfolded
2,salami,salami_unsliced.jpg,b,unsliced
3,pot,pot_closed.jpg,b,closed
4,wallet,wallet_closed.jpg,b,closed
5,onion,onion_unpeeled.jpg,b,unpeeled
6,orange,orange_unpeeled.jpg,b,unpeeled
7,apple,apple_unsliced.jpg,b,unsliced
8,pineapple,pineapple_unsliced.jpg,b,unsliced
9,blanket,blanket_unfolded.jpg,b,unfolded
10,watermelon,watermelon_unsliced.jpg,b,unsliced
11,pickle,pickle_unsliced.jpg,b,unsliced
12,kiwi,kiwi_unsliced.jpg,b,unsliced
13,towel,towel_unfolded.jpg,b,unfolded
14,tire,tire_whole.jpg,b,whole
15,ladder,ladder_unfolded.jpg,b,unfolded
16,eggcarton,eggcarton_full.jpg,b,full
17,table,table_whole.jpg,b,whole
18,carrot,carrot_unpeeled.jpg,b,unpeeled
19,banana,banana_unpeeled.jpg,b,unpeeled
20,garlic,garlic_unpeeled.jpg,b,unpeeled
21,mirror,mirror_whole.jpg,b,whole
22,sweater,sweater_unfolded.jpg,b,unfolded
23,egg,egg_whole.jpg,b,whole
24,cdplayer,cdplayer_closed.jpg,b,closed
25,microwave,microwave_closed.jpg,b,closed
26,paperclip,paperclip_bent.jpg,a,bent
27,straw,straw_bent.jpg,a,bent
28,yogamat,yogamat_rolled.jpg,a,rolled
29,onion,onion_peeled.jpg,a,peeled
30,carrot,carrot_peeled.jpg,a,peeled
31,banana,banana_peeled.jpg,a,peeled
32,waterbottle,waterbottle_open.jpg,a,open
33,backpack,backpack_open.jpg,a,open
34,can,can_open.jpg,a,open
35,book,book_open.jpg,a,open
36,seatbelt,seatbelt_open.jpg,a,open
37,scissors,scissors_closed.jpg,b,closed
38,dish,dish_clean.jpg,b,clean
39,shoelace,shoelace_untied.jpg,b,untied
40,bill,bill_unrolled.jpg,b,unrolled
41,boot,boot_clean.jpg,b,clean
42,sleepingbag,sleepingbag_unrolled.jpg,b,unrolled
43,staircase,staircase_straight.jpg,b,straight
44,cigarette,cigarette_whole.jpg,b,whole
45,plate,plate_whole.jpg,b,whole
46,sleepingbag,sleepingbag_rolled.jpg,a,rolled
47,rug,rug_rolled.jpg,a,rolled
48,shoelace,shoelace_tied.jpg,a,tied
49,lawnchair,lawnchair_folded.jpg,a,folded
50,paper,paper_folded.jpg,a,folded
51,blanket,blanket_folded.jpg,a,folded
52,yogamat,yogamat_unrolled.jpg,b,unrolled
53,straw,straw_straight.jpg,b,straight
54,garlic,garlic_peeled.jpg,a,peeled
55,apple,apple_sliced.jpg,a,sliced
56,bread,bread_sliced.jpg,a,sliced
57,pineapple,pineapple_sliced.jpg,a,sliced
58,lime,lime_sliced.jpg,a,sliced
59,kiwi,kiwi_sliced.jpg,a,sliced
60,pizza,pizza_sliced.jpg,a,sliced
61,treasurechest,treasurechest_open.jpg,a,open
62,wallet,wallet_open.jpg,a,open
63,cdplayer,cdplayer_open.jpg,a,open
64,ladder,ladder_folded.jpg,a,folded
65,cookie,cookie_whole.jpg,b,whole
