,object,image,state,adj
0,pineapple,pineapple_unsliced.jpg,b,unsliced
1,salami,salami_unsliced.jpg,b,unsliced
2,pig,pig_clean.jpg,b,clean
3,pickle,pickle_unsliced.jpg,b,unsliced
4,watermelon,watermelon_unsliced.jpg,b,unsliced
5,bread,bread_unsliced.jpg,b,unsliced
6,lime,lime_unsliced.jpg,b,unsliced
7,apple,apple_unsliced.jpg,b,unsliced
8,garlic,garlic_unpeeled.jpg,b,unpeeled
9,banana,banana_unpeeled.jpg,b,unpeeled
10,door,door_closed.jpg,b,closed
11,lock,lock_closed.jpg,b,closed
12,microwave,microwave_closed.jpg,b,closed
13,waterpipe,waterpipe_bent.jpg,a,bent
14,notepad,notepad_whole.jpg,b,whole
15,sugarpacket,sugarpacket_whole.jpg,b,whole
16,sweater,sweater_unfolded.jpg,b,unfolded
17,piggybank,piggybank_whole.jpg,b,whole
18,pencil,pencil_whole.jpg,b,whole
19,cigarette,cigarette_whole.jpg,b,whole
20,tire,tire_whole.jpg,b,whole
21,blanket,blanket_unfolded.jpg,b,unfolded
22,paper,paper_unfolded.jpg,b,unfolded
23,cookie,cookie_whole.jpg,b,whole
24,orange,orange_unpeeled.jpg,b,unpeeled
25,kiwi,kiwi_unsliced.jpg,b,unsliced
26,safetypin,safetypin_straight.jpg,b,straight
27,pot,pot_closed.jpg,b,closed
28,pizza,pizza_unsliced.jpg,b,unsliced
29,staircase,staircase_straight.jpg,b,straight
30,road,road_straight.jpg,b,straight
31,boot,boot_clean.jpg,b,clean
32,plate,plate_whole.jpg,b,whole
33,mirror,mirror_whole.jpg,b,whole
34,fence,fence_whole.jpg,b,whole
35,table,table_whole.jpg,b,whole
36,boot,boot_dirty.jpg,a,dirty
37,dish,dish_dirty.jpg,a,dirty
38,mirror,mirror_broken.jpg,a,broken
39,tire,tire_broken.jpg,a,broken
40,chain,chain_whole.jpg,b,whole
41,blanket,blanket_folded.jpg,a,folded
42,paper,paper_folded.jpg,a,folded
43,sweater,sweater_folded.jpg,a,folded
44,napkin,napkin_folded.jpg,a,folded
45,stovetop,stovetop_clean.jpg,b,clean
46,bucket,bucket_clean.jpg,b,clean
47,shoe,shoe_clean.jpg,b,clean
48,cup,cup_clean.jpg,b,clean
49,chapstick,chapstick_closed.jpg,b,closed
50,laptop,laptop_closed.jpg,b,closed
51,marker,marker_closed.jpg,b,closed
52,can,can_closed.jpg,b,closed
53,backpack,backpack_closed.jpg,b,closed
54,milkcarton,milkcarton_closed.jpg,b,closed
55,pig,pig_dirty.jpg,a,dirty
56,couch,couch_dirty.jpg,a,dirty
57,safetypin,safetypin_bent.jpg,a,bent
58,nail,nail_bent.jpg,a,bent
59,towel,towel_folded.jpg,a,folded
60,egg,egg_whole.jpg,b,whole
61,glasses,glasses_whole.jpg,b,whole
62,vase,vase_whole.jpg,b,whole
63,onion,onion_unpeeled.jpg,b,unpeeled
64,wallet,wallet_closed.jpg,b,closed
65,piggybank,piggybank_broken.jpg,a,broken
66,pencil,pencil_broken.jpg,a,broken
