,Unnamed: 0,object,image,state,adj,words_w2v
0,49,pot,pot_open.jpg,a,open,pot
1,195,treasurechest,treasurechest_closed.jpg,b,closed,treasure chest
2,21,juicebottle,juicebottle_open.jpg,a,open,juice bottle
3,64,onion,onion_peeled.jpg,a,peeled,onion
4,27,cdplayer,cdplayer_open.jpg,a,open,cd player
5,217,napkin,napkin_unfolded.jpg,b,unfolded,napkin
6,76,bill,bill_rolled.jpg,a,rolled,bill
7,212,onion,onion_unpeeled.jpg,b,unpeeled,onion
8,182,chapstick,chapstick_closed.jpg,b,closed,chapstick
9,60,garlic,garlic_peeled.jpg,a,peeled,garlic
10,8,can,can_open.jpg,a,open,can
11,152,milkcarton,milkcarton_closed.jpg,b,closed,milk carton
12,246,dish,dish_clean.jpg,b,clean,dish
13,226,yogamat,yogamat_unrolled.jpg,b,unrolled,yoga mat
14,140,notepad,notepad_ripped.jpg,a,ripped,notepad
15,54,watermelon,watermelon_sliced.jpg,a,sliced,watermelon
16,177,wallet,wallet_closed.jpg,b,closed,wallet
17,125,egg,egg_broken.jpg,a,broken,egg
18,151,book,book_closed.jpg,b,closed,book
19,77,sleepingbag,sleepingbag_rolled.jpg,a,rolled,sleeping bag
20,127,mirror,mirror_broken.jpg,a,broken,mirror
21,234,paperclip,paperclip_straight.jpg,b,straight,paperclip
22,291,garbagecan,garbagecan_full.jpg,b,full,garbage can
23,63,orange,orange_peeled.jpg,a,peeled,orange
24,4,milkcarton,milkcarton_open.jpg,a,open,milk carton
25,65,blanket,blanket_folded.jpg,a,folded,blanket
26,255,stovetop,stovetop_clean.jpg,b,clean,stovetop
27,129,cigarette,cigarette_broken.jpg,a,broken,cigarette
28,130,pencil,pencil_broken.jpg,a,broken,pencil
29,197,pot,pot_closed.jpg,b,closed,pot
30,164,door,door_closed.jpg,b,closed,door
31,81,waterpipe,waterpipe_bent.jpg,a,bent,waterpipe
32,253,spoon,spoon_clean.jpg,b,clean,spoon
33,2,seatbelt,seatbelt_open.jpg,a,open,seatbelt
34,43,eye,eye_open.jpg,a,open,eye
35,241,road,road_straight.jpg,b,straight,road
36,57,bread,bread_sliced.jpg,a,sliced,bread
37,275,mirror,mirror_whole.jpg,b,whole,mirror
38,134,table,table_broken.jpg,a,broken,table
39,224,bill,bill_unrolled.jpg,b,unrolled,bill
40,146,wineglass,wineglass_empty.jpg,a,empty,wineglass
41,223,rug,rug_unrolled.jpg,b,unrolled,rug
42,52,lime,lime_sliced.jpg,a,sliced,lime
43,70,towel,towel_folded.jpg,a,folded,towel
44,201,pickle,pickle_unsliced.jpg,b,unsliced,pickle
45,285,envelope,envelope_whole.jpg,b,whole,envelope
46,204,pineapple,pineapple_unsliced.jpg,b,unsliced,pineapple
47,257,shoe,shoe_clean.jpg,b,clean,shoe
48,120,cookie,cookie_broken.jpg,a,broken,cookie
49,178,suitcase,suitcase_closed.jpg,b,closed,suitcase
50,128,tire,tire_broken.jpg,a,broken,tire
51,61,banana,banana_peeled.jpg,a,peeled,banana
52,232,nail,nail_straight.jpg,b,straight,nail
53,270,chocolatebar,chocolatebar_whole.jpg,b,whole,chocolate bar
54,30,suitcase,suitcase_open.jpg,a,open,suitcase
55,215,paper,paper_unfolded.jpg,b,unfolded,paper
56,36,laptop,laptop_open.jpg,a,open,laptop
57,142,jar,jar_empty.jpg,a,empty,jar
58,282,table,table_whole.jpg,b,whole,table
59,225,sleepingbag,sleepingbag_unrolled.jpg,b,unrolled,sleeping bag
60,98,dish,dish_dirty.jpg,a,dirty,dish
61,103,gloves,gloves_dirty.jpg,a,dirty,gloves
62,147,shoppingcart,shoppingcart_empty.jpg,a,empty,shopping cart
63,288,notepad,notepad_whole.jpg,b,whole,notepad
64,293,eggcarton,eggcarton_full.jpg,b,full,egg carton
65,220,lawnchair,lawnchair_unfolded.jpg,b,unfolded,lawnchair
66,208,garlic,garlic_unpeeled.jpg,b,unpeeled,garlic
67,9,backpack,backpack_open.jpg,a,open,backpack
68,287,sugarpacket,sugarpacket_whole.jpg,b,whole,sugar packet
69,19,fridge,fridge_open.jpg,a,open,fridge
70,79,straw,straw_bent.jpg,a,bent,straw
71,191,eye,eye_closed.jpg,b,closed,eye
72,122,chocolatebar,chocolatebar_broken.jpg,a,broken,chocolate bar
73,256,bucket,bucket_clean.jpg,b,clean,bucket
74,174,microwave,microwave_closed.jpg,b,closed,microwave
75,251,gloves,gloves_clean.jpg,b,clean,gloves
76,72,lawnchair,lawnchair_folded.jpg,a,folded,lawnchair
77,51,kiwi,kiwi_sliced.jpg,a,sliced,kiwi
78,121,cracker,cracker_broken.jpg,a,broken,cracker
79,74,shoelace,shoelace_tied.jpg,a,tied,shoelace
80,62,carrot,carrot_peeled.jpg,a,peeled,carrot
81,259,hands,hands_clean.jpg,b,clean,hands
82,150,seatbelt,seatbelt_closed.jpg,b,closed,seatbelt
83,269,cracker,cracker_whole.jpg,b,whole,cracker
84,278,pencil,pencil_whole.jpg,b,whole,pencil
85,10,waterbottle,waterbottle_open.jpg,a,open,waterbottle
86,139,sugarpacket,sugarpacket_ripped.jpg,a,ripped,sugar packet
87,83,safetypin,safetypin_bent.jpg,a,bent,safety pin
88,26,microwave,microwave_open.jpg,a,open,microwave
