,Unnamed: 0,object,image,state,adj,words_w2v
0,261,potato,potato_clean.jpg,b,clean,potato
1,69,napkin,napkin_folded.jpg,a,folded,napkin
2,150,seatbelt,seatbelt_closed.jpg,b,closed,seatbelt
3,288,notepad,notepad_whole.jpg,b,whole,notepad
4,145,eggcarton,eggcarton_empty.jpg,a,empty,egg carton
5,134,table,table_broken.jpg,a,broken,table
6,39,scissors,scissors_open.jpg,a,open,scissors
7,125,egg,egg_broken.jpg,a,broken,egg
8,114,couch,couch_dirty.jpg,a,dirty,couch
9,81,waterpipe,waterpipe_bent.jpg,a,bent,waterpipe
10,65,blanket,blanket_folded.jpg,a,folded,blanket
11,255,stovetop,stovetop_clean.jpg,b,clean,stovetop
12,61,banana,banana_peeled.jpg,a,peeled,banana
13,36,laptop,laptop_open.jpg,a,open,laptop
14,211,orange,orange_unpeeled.jpg,b,unpeeled,orange
15,174,microwave,microwave_closed.jpg,b,closed,microwave
16,278,pencil,pencil_whole.jpg,b,whole,pencil
17,197,pot,pot_closed.jpg,b,closed,pot
18,152,milkcarton,milkcarton_closed.jpg,b,closed,milk carton
19,245,boot,boot_clean.jpg,b,clean,boot
20,294,wineglass,wineglass_full.jpg,b,full,wineglass
21,263,pig,pig_clean.jpg,b,clean,pig
22,70,towel,towel_folded.jpg,a,folded,towel
23,54,watermelon,watermelon_sliced.jpg,a,sliced,watermelon
24,258,cup,cup_clean.jpg,b,clean,cup
25,53,pickle,pickle_sliced.jpg,a,sliced,pickle
26,77,sleepingbag,sleepingbag_rolled.jpg,a,rolled,sleeping bag
27,22,gate,gate_open.jpg,a,open,gate
28,56,pineapple,pineapple_sliced.jpg,a,sliced,pineapple
29,84,nail,nail_bent.jpg,a,bent,nail
30,204,pineapple,pineapple_unsliced.jpg,b,unsliced,pineapple
31,187,scissors,scissors_closed.jpg,b,closed,scissors
32,275,mirror,mirror_whole.jpg,b,whole,mirror
33,105,spoon,spoon_dirty.jpg,a,dirty,spoon
34,164,door,door_closed.jpg,b,closed,door
35,58,apple,apple_sliced.jpg,a,sliced,apple
36,185,marker,marker_closed.jpg,b,closed,marker
37,290,jar,jar_full.jpg,b,full,jar
38,99,car,car_dirty.jpg,a,dirty,car
39,120,cookie,cookie_broken.jpg,a,broken,cookie
40,159,cabinet,cabinet_closed.jpg,b,closed,cabinet
41,75,rug,rug_rolled.jpg,a,rolled,rug
42,103,gloves,gloves_dirty.jpg,a,dirty,gloves
43,285,envelope,envelope_whole.jpg,b,whole,envelope
44,78,yogamat,yogamat_rolled.jpg,a,rolled,yoga mat
45,208,garlic,garlic_unpeeled.jpg,b,unpeeled,garlic
46,15,stapler,stapler_open.jpg,a,open,stapler
47,60,garlic,garlic_peeled.jpg,a,peeled,garlic
48,272,glasses,glasses_whole.jpg,b,whole,glasses
49,123,vase,vase_broken.jpg,a,broken,vase
50,287,sugarpacket,sugarpacket_whole.jpg,b,whole,sugar packet
51,2,seatbelt,seatbelt_open.jpg,a,open,seatbelt
52,256,bucket,bucket_clean.jpg,b,clean,bucket
53,273,egg,egg_whole.jpg,b,whole,egg
54,126,fence,fence_broken.jpg,a,broken,fence
55,218,towel,towel_unfolded.jpg,b,unfolded,towel
56,143,garbagecan,garbagecan_empty.jpg,a,empty,garbage can
57,234,paperclip,paperclip_straight.jpg,b,straight,paperclip
58,124,glasses,glasses_broken.jpg,a,broken,glasses
59,71,ladder,ladder_folded.jpg,a,folded,ladder
60,178,suitcase,suitcase_closed.jpg,b,closed,suitcase
61,37,marker,marker_open.jpg,a,open,marker
62,158,waterbottle,waterbottle_closed.jpg,b,closed,waterbottle
63,121,cracker,cracker_broken.jpg,a,broken,cracker
64,64,onion,onion_peeled.jpg,a,peeled,onion
65,217,napkin,napkin_unfolded.jpg,b,unfolded,napkin
66,239,magnet,magnet_straight.jpg,b,straight,magnet
67,9,backpack,backpack_open.jpg,a,open,backpack
68,91,magnet,magnet_bent.jpg,a,bent,magnet
69,133,plate,plate_broken.jpg,a,broken,plate
70,68,sweater,sweater_folded.jpg,a,folded,sweater
