,object,image,state,adj
0,onion,onion_peeled.jpg,a,peeled
1,chestofdrawers,chestofdrawers_closed.jpg,b,closed
2,paper,paper_folded.jpg,a,folded
3,cabinet,cabinet_open.jpg,a,open
4,milkcarton,milkcarton_open.jpg,a,open
5,door,door_closed.jpg,b,closed
6,napkin,napkin_folded.jpg,a,folded
7,blanket,blanket_folded.jpg,a,folded
8,sweater,sweater_folded.jpg,a,folded
9,wineglass,wineglass_full.jpg,b,full
10,cdplayer,cdplayer_closed.jpg,b,closed
11,shoppingcart,shoppingcart_full.jpg,b,full
12,book,book_open.jpg,a,open
13,chipbag,chipbag_whole.jpg,b,whole
14,naan,naan_whole.jpg,b,whole
15,notepad,notepad_whole.jpg,b,whole
16,milkcarton,milkcarton_closed.jpg,b,closed
17,piggybank,piggybank_whole.jpg,b,whole
18,seatbelt,seatbelt_closed.jpg,b,closed
19,microwave,microwave_closed.jpg,b,closed
20,filefolder,filefolder_closed.jpg,b,closed
21,shoppingcart,shoppingcart_empty.jpg,a,empty
22,eggcarton,eggcarton_empty.jpg,a,empty
23,garbagecan,garbagecan_empty.jpg,a,empty
24,chipbag,chipbag_ripped.jpg,a,ripped
25,notepad,notepad_ripped.jpg,a,ripped
26,sugarpacket,sugarpacket_ripped.jpg,a,ripped
27,envelope,envelope_ripped.jpg,a,ripped
28,towel,towel_folded.jpg,a,folded
29,kiwi,kiwi_unsliced.jpg,b,unsliced
30,cigarette,cigarette_whole.jpg,b,whole
31,book,book_closed.jpg,b,closed
32,plate,plate_whole.jpg,b,whole
33,table,table_whole.jpg,b,whole
34,juicebottle,juicebottle_closed.jpg,b,closed
35,chain,chain_broken.jpg,a,broken
36,tire,tire_broken.jpg,a,broken
37,mirror,mirror_broken.jpg,a,broken
38,shoelace,shoelace_tied.jpg,a,tied
39,lawnchair,lawnchair_folded.jpg,a,folded
40,ladder,ladder_folded.jpg,a,folded
41,chapstick,chapstick_closed.jpg,b,closed
42,scissors,scissors_closed.jpg,b,closed
43,eye,eye_closed.jpg,b,closed
44,paper,paper_unfolded.jpg,b,unfolded
45,tire,tire_whole.jpg,b,whole
46,paperclip,paperclip_straight.jpg,b,straight
47,couch,couch_clean.jpg,b,clean
48,cookie,cookie_whole.jpg,b,whole
49,fridge,fridge_closed.jpg,b,closed
50,potato,potato_clean.jpg,b,clean
51,jar,jar_full.jpg,b,full
52,hamper,hamper_full.jpg,b,full
53,eggcarton,eggcarton_full.jpg,b,full
54,soccerball,soccerball_clean.jpg,b,clean
