,Unnamed: 0,object,image,state,adj,words_w2v
0,114,couch,couch_dirty.jpg,a,dirty,couch
1,4,milkcarton,milkcarton_open.jpg,a,open,milk carton
2,9,backpack,backpack_open.jpg,a,open,backpack
3,54,watermelon,watermelon_sliced.jpg,a,sliced,watermelon
4,161,dishwasher,dishwasher_closed.jpg,b,closed,dishwasher
5,258,cup,cup_clean.jpg,b,clean,cup
6,52,lime,lime_sliced.jpg,a,sliced,lime
7,36,laptop,laptop_open.jpg,a,open,laptop
8,58,apple,apple_sliced.jpg,a,sliced,apple
9,110,cup,cup_dirty.jpg,a,dirty,cup
10,198,pizza,pizza_unsliced.jpg,b,unsliced,pizza
11,158,waterbottle,waterbottle_closed.jpg,b,closed,waterbottle
12,2,seatbelt,seatbelt_open.jpg,a,open,seatbelt
13,293,eggcarton,eggcarton_full.jpg,b,full,egg carton
14,128,tire,tire_broken.jpg,a,broken,tire
15,21,juicebottle,juicebottle_open.jpg,a,open,juice bottle
16,67,paper,paper_folded.jpg,a,folded,paper
17,23,lock,lock_open.jpg,a,open,lock
18,231,safetypin,safetypin_straight.jpg,b,straight,safety pin
19,285,envelope,envelope_whole.jpg,b,whole,envelope
20,107,stovetop,stovetop_dirty.jpg,a,dirty,stovetop
21,182,chapstick,chapstick_closed.jpg,b,closed,chapstick
22,201,pickle,pickle_unsliced.jpg,b,unsliced,pickle
23,255,stovetop,stovetop_clean.jpg,b,clean,stovetop
24,203,salami,salami_unsliced.jpg,b,unsliced,salami
25,294,wineglass,wineglass_full.jpg,b,full,wineglass
26,99,car,car_dirty.jpg,a,dirty,car
27,169,juicebottle,juicebottle_closed.jpg,b,closed,juice bottle
28,47,treasurechest,treasurechest_open.jpg,a,open,treasure chest
29,246,dish,dish_clean.jpg,b,clean,dish
30,137,envelope,envelope_ripped.jpg,a,ripped,envelope
31,53,pickle,pickle_sliced.jpg,a,sliced,pickle
32,123,vase,vase_broken.jpg,a,broken,vase
33,289,chipbag,chipbag_whole.jpg,b,whole,chip bag
34,276,tire,tire_whole.jpg,b,whole,tire
35,124,glasses,glasses_broken.jpg,a,broken,glasses
36,30,suitcase,suitcase_open.jpg,a,open,suitcase
37,84,nail,nail_bent.jpg,a,bent,nail
38,165,chestofdrawers,chestofdrawers_closed.jpg,b,closed,chest of drawers
39,209,banana,banana_unpeeled.jpg,b,unpeeled,banana
40,197,pot,pot_closed.jpg,b,closed,pot
41,120,cookie,cookie_broken.jpg,a,broken,cookie
42,103,gloves,gloves_dirty.jpg,a,dirty,gloves
43,3,book,book_open.jpg,a,open,book
