,object,image,state,adj
0,wallet,wallet_open.jpg,a,open
1,vase,vase_broken.jpg,a,broken
2,seatbelt,seatbelt_open.jpg,a,open
3,fence,fence_broken.jpg,a,broken
4,chocolatebar,chocolatebar_whole.jpg,b,whole
5,staircase,staircase_straight.jpg,b,straight
6,sweater,sweater_unfolded.jpg,b,unfolded
7,glasses,glasses_broken.jpg,a,broken
8,ladder,ladder_unfolded.jpg,b,unfolded
9,cdplayer,cdplayer_open.jpg,a,open
10,microwave,microwave_open.jpg,a,open
11,milkcarton,milkcarton_open.jpg,a,open
12,book,book_open.jpg,a,open
13,wineglass,wineglass_empty.jpg,a,empty
14,tire,tire_broken.jpg,a,broken
15,yogamat,yogamat_unrolled.jpg,b,unrolled
16,mirror,mirror_broken.jpg,a,broken
17,pizza,pizza_sliced.jpg,a,sliced
18,couch,couch_dirty.jpg,a,dirty
19,towel,towel_unfolded.jpg,b,unfolded
20,eggcarton,eggcarton_full.jpg,b,full
21,plate,plate_broken.jpg,a,broken
22,cigarette,cigarette_broken.jpg,a,broken
23,wineglass,wineglass_full.jpg,b,full
24,paperclip,paperclip_bent.jpg,a,bent
25,orange,orange_peeled.jpg,a,peeled
26,eggcarton,eggcarton_empty.jpg,a,empty
27,hamper,hamper_empty.jpg,a,empty
28,chocolatebar,chocolatebar_broken.jpg,a,broken
29,cracker,cracker_broken.jpg,a,broken
30,cookie,cookie_broken.jpg,a,broken
31,pig,pig_dirty.jpg,a,dirty
32,pot,pot_open.jpg,a,open
33,carrot,carrot_peeled.jpg,a,peeled
34,banana,banana_peeled.jpg,a,peeled
35,pineapple,pineapple_sliced.jpg,a,sliced
36,lime,lime_sliced.jpg,a,sliced
37,kiwi,kiwi_sliced.jpg,a,sliced
38,orange,orange_unpeeled.jpg,b,unpeeled
39,pickle,pickle_unsliced.jpg,b,unsliced
40,cabinet,cabinet_closed.jpg,b,closed
41,stapler,stapler_closed.jpg,b,closed
42,microwave,microwave_closed.jpg,b,closed
43,cdplayer,cdplayer_closed.jpg,b,closed
44,suitcase,suitcase_closed.jpg,b,closed
45,chapstick,chapstick_closed.jpg,b,closed
46,pizza,pizza_unsliced.jpg,b,unsliced
47,cigarette,cigarette_whole.jpg,b,whole
48,piggybank,piggybank_broken.jpg,a,broken
49,lock,lock_closed.jpg,b,closed
50,gate,gate_closed.jpg,b,closed
51,rug,rug_unrolled.jpg,b,unrolled
52,shoppingcart,shoppingcart_full.jpg,b,full
53,door,door_closed.jpg,b,closed
54,juicebottle,juicebottle_closed.jpg,b,closed
55,paperclip,paperclip_straight.jpg,b,straight
56,magnet,magnet_straight.jpg,b,straight
57,road,road_straight.jpg,b,straight
58,tire,tire_whole.jpg,b,whole
59,potato,potato_clean.jpg,b,clean
60,soccerball,soccerball_clean.jpg,b,clean
61,cup,cup_clean.jpg,b,clean
62,boot,boot_clean.jpg,b,clean
63,shoppingcart,shoppingcart_empty.jpg,a,empty
64,pencil,pencil_broken.jpg,a,broken
65,notepad,notepad_ripped.jpg,a,ripped
66,table,table_broken.jpg,a,broken
67,envelope,envelope_ripped.jpg,a,ripped
68,milkcarton,milkcarton_closed.jpg,b,closed
69,book,book_closed.jpg,b,closed
70,pencil,pencil_whole.jpg,b,whole
71,onion,onion_unpeeled.jpg,b,unpeeled
72,filefolder,filefolder_closed.jpg,b,closed
73,fridge,fridge_closed.jpg,b,closed
74,waterbottle,waterbottle_closed.jpg,b,closed
75,can,can_closed.jpg,b,closed
76,chestofdrawers,chestofdrawers_closed.jpg,b,closed
77,car,car_clean.jpg,b,clean
78,gloves,gloves_clean.jpg,b,clean
79,stovetop,stovetop_clean.jpg,b,clean
80,lock,lock_open.jpg,a,open
81,gate,gate_open.jpg,a,open
82,juicebottle,juicebottle_open.jpg,a,open
83,paper,paper_unfolded.jpg,b,unfolded
84,blanket,blanket_unfolded.jpg,b,unfolded
85,potato,potato_dirty.jpg,a,dirty
86,shoe,shoe_dirty.jpg,a,dirty
87,bucket,bucket_dirty.jpg,a,dirty
88,spoon,spoon_dirty.jpg,a,dirty
89,dish,dish_dirty.jpg,a,dirty
90,boot,boot_dirty.jpg,a,dirty
91,staircase,staircase_curved.jpg,a,curved
92,pickle,pickle_sliced.jpg,a,sliced
93,fridge,fridge_open.jpg,a,open
94,chestofdrawers,chestofdrawers_open.jpg,a,open
95,door,door_open.jpg,a,open
96,stapler,stapler_open.jpg,a,open
97,dishwasher,dishwasher_open.jpg,a,open
98,cabinet,cabinet_open.jpg,a,open
99,hamper,hamper_full.jpg,b,full
100,nail,nail_bent.jpg,a,bent
101,sleepingbag,sleepingbag_rolled.jpg,a,rolled
102,bill,bill_rolled.jpg,a,rolled
103,ladder,ladder_folded.jpg,a,folded
104,magnet,magnet_bent.jpg,a,bent
105,waterbottle,waterbottle_open.jpg,a,open
106,backpack,backpack_open.jpg,a,open
107,can,can_open.jpg,a,open
108,couch,couch_clean.jpg,b,clean
109,cookie,cookie_whole.jpg,b,whole
110,envelope,envelope_whole.jpg,b,whole
111,chipbag,chipbag_whole.jpg,b,whole
112,vase,vase_whole.jpg,b,whole
113,glasses,glasses_whole.jpg,b,whole
114,egg,egg_whole.jpg,b,whole
115,seatbelt,seatbelt_closed.jpg,b,closed
116,sleepingbag,sleepingbag_unrolled.jpg,b,unrolled
117,towel,towel_folded.jpg,a,folded
118,napkin,napkin_folded.jpg,a,folded
119,sweater,sweater_folded.jpg,a,folded
120,soccerball,soccerball_dirty.jpg,a,dirty
121,stovetop,stovetop_dirty.jpg,a,dirty
122,fence,fence_whole.jpg,b,whole
123,mirror,mirror_whole.jpg,b,whole
124,rug,rug_rolled.jpg,a,rolled
125,shoelace,shoelace_tied.jpg,a,tied
126,lawnchair,lawnchair_folded.jpg,a,folded
127,shoe,shoe_clean.jpg,b,clean
128,pig,pig_clean.jpg,b,clean
129,nail,nail_straight.jpg,b,straight
130,safetypin,safetypin_straight.jpg,b,straight
131,gloves,gloves_dirty.jpg,a,dirty
132,car,car_dirty.jpg,a,dirty
133,filefolder,filefolder_open.jpg,a,open
134,napkin,napkin_unfolded.jpg,b,unfolded
135,chipbag,chipbag_ripped.jpg,a,ripped
136,jar,jar_empty.jpg,a,empty
137,dishwasher,dishwasher_closed.jpg,b,closed
138,shoelace,shoelace_untied.jpg,b,untied
139,treasurechest,treasurechest_open.jpg,a,open
140,eye,eye_open.jpg,a,open
141,scissors,scissors_open.jpg,a,open
142,marker,marker_open.jpg,a,open
143,laptop,laptop_open.jpg,a,open
144,chapstick,chapstick_open.jpg,a,open
145,suitcase,suitcase_open.jpg,a,open
146,bucket,bucket_clean.jpg,b,clean
147,straw,straw_straight.jpg,b,straight
148,waterpipe,waterpipe_straight.jpg,b,straight
149,jar,jar_full.jpg,b,full
150,garbagecan,garbagecan_full.jpg,b,full
151,table,table_whole.jpg,b,whole
152,chain,chain_whole.jpg,b,whole
153,egg,egg_broken.jpg,a,broken
154,safetypin,safetypin_bent.jpg,a,bent
155,waterpipe,waterpipe_bent.jpg,a,bent
156,yogamat,yogamat_rolled.jpg,a,rolled
157,straw,straw_bent.jpg,a,bent
158,road,road_curved.jpg,a,curved
159,sugarpacket,sugarpacket_ripped.jpg,a,ripped
160,naan,naan_ripped.jpg,a,ripped
161,sugarpacket,sugarpacket_whole.jpg,b,whole
162,piggybank,piggybank_whole.jpg,b,whole
163,plate,plate_whole.jpg,b,whole
164,dish,dish_clean.jpg,b,clean
165,pot,pot_closed.jpg,b,closed
166,laptop,laptop_closed.jpg,b,closed
167,naan,naan_whole.jpg,b,whole
168,salami,salami_sliced.jpg,a,sliced
169,watermelon,watermelon_sliced.jpg,a,sliced
170,notepad,notepad_whole.jpg,b,whole
171,garlic,garlic_peeled.jpg,a,peeled
172,apple,apple_sliced.jpg,a,sliced
173,bread,bread_sliced.jpg,a,sliced
174,lawnchair,lawnchair_unfolded.jpg,b,unfolded
175,chain,chain_broken.jpg,a,broken
176,cup,cup_dirty.jpg,a,dirty
177,hands,hands_dirty.jpg,a,dirty
178,backpack,backpack_closed.jpg,b,closed
179,cracker,cracker_whole.jpg,b,whole
180,wallet,wallet_closed.jpg,b,closed
181,hands,hands_clean.jpg,b,clean
182,marker,marker_closed.jpg,b,closed
183,spoon,spoon_clean.jpg,b,clean
184,lime,lime_unsliced.jpg,b,unsliced
185,carrot,carrot_unpeeled.jpg,b,unpeeled
186,banana,banana_unpeeled.jpg,b,unpeeled
187,garlic,garlic_unpeeled.jpg,b,unpeeled
188,apple,apple_unsliced.jpg,b,unsliced
189,salami,salami_unsliced.jpg,b,unsliced
190,watermelon,watermelon_unsliced.jpg,b,unsliced
191,bread,bread_unsliced.jpg,b,unsliced
192,pineapple,pineapple_unsliced.jpg,b,unsliced
193,bill,bill_unrolled.jpg,b,unrolled
194,garbagecan,garbagecan_empty.jpg,a,empty
195,paper,paper_folded.jpg,a,folded
196,onion,onion_peeled.jpg,a,peeled
197,blanket,blanket_folded.jpg,a,folded
198,eye,eye_closed.jpg,b,closed
199,scissors,scissors_closed.jpg,b,closed
200,treasurechest,treasurechest_closed.jpg,b,closed
201,kiwi,kiwi_unsliced.jpg,b,unsliced
