,object,image,state,adj
122,boot,boot_dirty.jpg,a,dirty
123,paperclip,paperclip_bent.jpg,a,bent
124,magnet,magnet_bent.jpg,a,bent
125,chapstick,chapstick_closed.jpg,b,closed
126,egg,egg_whole.jpg,b,whole
127,laptop,laptop_closed.jpg,b,closed
128,milkcarton,milkcarton_closed.jpg,b,closed
129,can,can_closed.jpg,b,closed
130,wallet,wallet_closed.jpg,b,closed
131,suitcase,suitcase_closed.jpg,b,closed
132,cup,cup_clean.jpg,b,clean
133,safetypin,safetypin_bent.jpg,a,bent
134,waterpipe,waterpipe_bent.jpg,a,bent
135,shoe,shoe_dirty.jpg,a,dirty
136,gate,gate_closed.jpg,b,closed
137,shoelace,shoelace_untied.jpg,b,untied
138,yogamat,yogamat_unrolled.jpg,b,unrolled
139,glasses,glasses_whole.jpg,b,whole
140,wineglass,wineglass_empty.jpg,a,empty
141,eye,eye_closed.jpg,b,closed
142,treasurechest,treasurechest_closed.jpg,b,closed
143,wineglass,wineglass_full.jpg,b,full
144,lawnchair,lawnchair_folded.jpg,a,folded
145,waterbottle,waterbottle_closed.jpg,b,closed
146,backpack,backpack_closed.jpg,b,closed
147,staircase,staircase_curved.jpg,a,curved
148,road,road_curved.jpg,a,curved
149,straw,straw_bent.jpg,a,bent
150,yogamat,yogamat_rolled.jpg,a,rolled
151,bill,bill_rolled.jpg,a,rolled
152,rug,rug_rolled.jpg,a,rolled
153,shoelace,shoelace_tied.jpg,a,tied
154,paperclip,paperclip_straight.jpg,b,straight
155,safetypin,safetypin_straight.jpg,b,straight
156,waterpipe,waterpipe_straight.jpg,b,straight
157,cabinet,cabinet_closed.jpg,b,closed
158,dishwasher,dishwasher_closed.jpg,b,closed
159,rug,rug_unrolled.jpg,b,unrolled
160,sleepingbag,sleepingbag_unrolled.jpg,b,unrolled
161,bill,bill_unrolled.jpg,b,unrolled
162,tire,tire_whole.jpg,b,whole
163,car,car_clean.jpg,b,clean
164,fridge,fridge_open.jpg,a,open
165,filefolder,filefolder_open.jpg,a,open
166,chestofdrawers,chestofdrawers_open.jpg,a,open
167,door,door_open.jpg,a,open
168,book,book_open.jpg,a,open
169,seatbelt,seatbelt_open.jpg,a,open
170,stapler,stapler_open.jpg,a,open
171,dishwasher,dishwasher_open.jpg,a,open
172,cabinet,cabinet_open.jpg,a,open
173,sleepingbag,sleepingbag_rolled.jpg,a,rolled
174,spoon,spoon_clean.jpg,b,clean
175,kiwi,kiwi_sliced.jpg,a,sliced
176,pizza,pizza_sliced.jpg,a,sliced
177,pot,pot_open.jpg,a,open
178,treasurechest,treasurechest_open.jpg,a,open
179,eye,eye_open.jpg,a,open
180,scissors,scissors_open.jpg,a,open
181,marker,marker_open.jpg,a,open
182,waterbottle,waterbottle_open.jpg,a,open
183,backpack,backpack_open.jpg,a,open
184,can,can_open.jpg,a,open
185,milkcarton,milkcarton_open.jpg,a,open
186,piggybank,piggybank_broken.jpg,a,broken
187,vase,vase_whole.jpg,b,whole
188,pickle,pickle_unsliced.jpg,b,unsliced
189,watermelon,watermelon_unsliced.jpg,b,unsliced
190,bread,bread_unsliced.jpg,b,unsliced
191,apple,apple_unsliced.jpg,b,unsliced
192,pineapple,pineapple_unsliced.jpg,b,unsliced
193,onion,onion_peeled.jpg,a,peeled
194,orange,orange_peeled.jpg,a,peeled
195,carrot,carrot_peeled.jpg,a,peeled
196,banana,banana_peeled.jpg,a,peeled
197,garlic,garlic_peeled.jpg,a,peeled
198,hamper,hamper_empty.jpg,a,empty
199,jar,jar_empty.jpg,a,empty
200,garbagecan,garbagecan_empty.jpg,a,empty
201,nail,nail_straight.jpg,b,straight
