,Unnamed: 0,object,image,state,adj,words_w2v
0,11,cabinet,cabinet_open.jpg,a,open,cabinet
1,16,door,door_open.jpg,a,open,door
2,261,potato,potato_clean.jpg,b,clean,potato
3,137,envelope,envelope_ripped.jpg,a,ripped,envelope
4,216,sweater,sweater_unfolded.jpg,b,unfolded,sweater
5,210,carrot,carrot_unpeeled.jpg,b,unpeeled,carrot
6,170,gate,gate_closed.jpg,b,closed,gate
7,290,jar,jar_full.jpg,b,full,jar
8,245,boot,boot_clean.jpg,b,clean,boot
9,277,cigarette,cigarette_whole.jpg,b,whole,cigarette
10,108,bucket,bucket_dirty.jpg,a,dirty,bucket
11,126,fence,fence_broken.jpg,a,broken,fence
12,229,waterpipe,waterpipe_straight.jpg,b,straight,waterpipe
13,123,vase,vase_broken.jpg,a,broken,vase
14,71,ladder,ladder_folded.jpg,a,folded,ladder
15,23,lock,lock_open.jpg,a,open,lock
16,163,stapler,stapler_closed.jpg,b,closed,stapler
17,281,plate,plate_whole.jpg,b,whole,plate
18,239,magnet,magnet_straight.jpg,b,straight,magnet
19,157,backpack,backpack_closed.jpg,b,closed,backpack
20,171,lock,lock_closed.jpg,b,closed,lock
21,110,cup,cup_dirty.jpg,a,dirty,cup
22,58,apple,apple_sliced.jpg,a,sliced,apple
23,175,cdplayer,cdplayer_closed.jpg,b,closed,cd player
24,47,treasurechest,treasurechest_open.jpg,a,open,treasure chest
25,105,spoon,spoon_dirty.jpg,a,dirty,spoon
26,295,shoppingcart,shoppingcart_full.jpg,b,full,shopping cart
27,279,piggybank,piggybank_whole.jpg,b,whole,piggybank
28,187,scissors,scissors_closed.jpg,b,closed,scissors
29,55,salami,salami_sliced.jpg,a,sliced,salami
30,112,soccerball,soccerball_dirty.jpg,a,dirty,soccerball
31,161,dishwasher,dishwasher_closed.jpg,b,closed,dishwasher
32,244,staircase,staircase_straight.jpg,b,straight,staircase
33,107,stovetop,stovetop_dirty.jpg,a,dirty,stovetop
34,156,can,can_closed.jpg,b,closed,can
35,145,eggcarton,eggcarton_empty.jpg,a,empty,egg carton
36,96,staircase,staircase_curved.jpg,a,curved,staircase
37,15,stapler,stapler_open.jpg,a,open,stapler
38,262,couch,couch_clean.jpg,b,clean,couch
39,231,safetypin,safetypin_straight.jpg,b,straight,safety pin
40,68,sweater,sweater_folded.jpg,a,folded,sweater
41,50,pizza,pizza_sliced.jpg,a,sliced,pizza
42,67,paper,paper_folded.jpg,a,folded,paper
43,271,vase,vase_whole.jpg,b,whole,vase
44,93,road,road_curved.jpg,a,curved,road
45,69,napkin,napkin_folded.jpg,a,folded,napkin
46,227,straw,straw_straight.jpg,b,straight,straw
47,268,cookie,cookie_whole.jpg,b,whole,cookie
48,97,boot,boot_dirty.jpg,a,dirty,boot
49,113,potato,potato_dirty.jpg,a,dirty,potato
50,213,blanket,blanket_unfolded.jpg,b,unfolded,blanket
51,205,bread,bread_unsliced.jpg,b,unsliced,bread
52,17,chestofdrawers,chestofdrawers_open.jpg,a,open,chest of drawers
53,91,magnet,magnet_bent.jpg,a,bent,magnet
54,56,pineapple,pineapple_sliced.jpg,a,sliced,pineapple
55,218,towel,towel_unfolded.jpg,b,unfolded,towel
56,206,apple,apple_unsliced.jpg,b,unsliced,apple
57,39,scissors,scissors_open.jpg,a,open,scissors
58,138,naan,naan_ripped.jpg,a,ripped,naan
59,166,filefolder,filefolder_closed.jpg,b,closed,file folder
60,289,chipbag,chipbag_whole.jpg,b,whole,chip bag
61,260,soccerball,soccerball_clean.jpg,b,clean,soccerball
62,124,glasses,glasses_broken.jpg,a,broken,glasses
63,286,naan,naan_whole.jpg,b,whole,naan
64,247,car,car_clean.jpg,b,clean,car
65,53,pickle,pickle_sliced.jpg,a,sliced,pickle
66,109,shoe,shoe_dirty.jpg,a,dirty,shoe
67,115,pig,pig_dirty.jpg,a,dirty,pig
68,200,lime,lime_unsliced.jpg,b,unsliced,lime
69,18,filefolder,filefolder_open.jpg,a,open,file folder
70,283,chain,chain_whole.jpg,b,whole,chain
71,29,wallet,wallet_open.jpg,a,open,wallet
72,199,kiwi,kiwi_unsliced.jpg,b,unsliced,kiwi
73,84,nail,nail_bent.jpg,a,bent,nail
74,111,hands,hands_dirty.jpg,a,dirty,hands
75,37,marker,marker_open.jpg,a,open,marker
76,222,shoelace,shoelace_untied.jpg,b,untied,shoelace
77,167,fridge,fridge_closed.jpg,b,closed,fridge
78,78,yogamat,yogamat_rolled.jpg,a,rolled,yoga mat
79,3,book,book_open.jpg,a,open,book
80,169,juicebottle,juicebottle_closed.jpg,b,closed,juice bottle
81,135,chain,chain_broken.jpg,a,broken,chain
82,141,chipbag,chipbag_ripped.jpg,a,ripped,chip bag
83,13,dishwasher,dishwasher_open.jpg,a,open,dishwasher
84,185,marker,marker_closed.jpg,b,closed,marker
85,75,rug,rug_rolled.jpg,a,rolled,rug
86,144,hamper,hamper_empty.jpg,a,empty,hamper
87,203,salami,salami_unsliced.jpg,b,unsliced,salami
88,158,waterbottle,waterbottle_closed.jpg,b,closed,waterbottle
89,219,ladder,ladder_unfolded.jpg,b,unfolded,ladder
90,159,cabinet,cabinet_closed.jpg,b,closed,cabinet
91,274,fence,fence_whole.jpg,b,whole,fence
92,184,laptop,laptop_closed.jpg,b,closed,laptop
93,22,gate,gate_open.jpg,a,open,gate
94,209,banana,banana_unpeeled.jpg,b,unpeeled,banana
95,258,cup,cup_clean.jpg,b,clean,cup
96,292,hamper,hamper_full.jpg,b,full,hamper
97,272,glasses,glasses_whole.jpg,b,whole,glasses
98,276,tire,tire_whole.jpg,b,whole,tire
99,198,pizza,pizza_unsliced.jpg,b,unsliced,pizza
100,165,chestofdrawers,chestofdrawers_closed.jpg,b,closed,chest of drawers
101,202,watermelon,watermelon_unsliced.jpg,b,unsliced,watermelon
102,99,car,car_dirty.jpg,a,dirty,car
103,86,paperclip,paperclip_bent.jpg,a,bent,paperclip
104,114,couch,couch_dirty.jpg,a,dirty,couch
105,211,orange,orange_unpeeled.jpg,b,unpeeled,orange
106,273,egg,egg_whole.jpg,b,whole,egg
107,133,plate,plate_broken.jpg,a,broken,plate
108,34,chapstick,chapstick_open.jpg,a,open,chapstick
109,143,garbagecan,garbagecan_empty.jpg,a,empty,garbage can
110,263,pig,pig_clean.jpg,b,clean,pig
111,294,wineglass,wineglass_full.jpg,b,full,wineglass
112,131,piggybank,piggybank_broken.jpg,a,broken,piggybank
113,26,microwave,microwave_open.jpg,a,open,microwave
114,83,safetypin,safetypin_bent.jpg,a,bent,safety pin
115,139,sugarpacket,sugarpacket_ripped.jpg,a,ripped,sugar packet
116,10,waterbottle,waterbottle_open.jpg,a,open,waterbottle
117,278,pencil,pencil_whole.jpg,b,whole,pencil
118,269,cracker,cracker_whole.jpg,b,whole,cracker
119,150,seatbelt,seatbelt_closed.jpg,b,closed,seatbelt
120,259,hands,hands_clean.jpg,b,clean,hands
121,62,carrot,carrot_peeled.jpg,a,peeled,carrot
122,74,shoelace,shoelace_tied.jpg,a,tied,shoelace
123,121,cracker,cracker_broken.jpg,a,broken,cracker
124,51,kiwi,kiwi_sliced.jpg,a,sliced,kiwi
125,72,lawnchair,lawnchair_folded.jpg,a,folded,lawnchair
126,251,gloves,gloves_clean.jpg,b,clean,gloves
127,174,microwave,microwave_closed.jpg,b,closed,microwave
128,256,bucket,bucket_clean.jpg,b,clean,bucket
129,122,chocolatebar,chocolatebar_broken.jpg,a,broken,chocolate bar
130,191,eye,eye_closed.jpg,b,closed,eye
131,79,straw,straw_bent.jpg,a,bent,straw
132,19,fridge,fridge_open.jpg,a,open,fridge
133,287,sugarpacket,sugarpacket_whole.jpg,b,whole,sugar packet
134,9,backpack,backpack_open.jpg,a,open,backpack
135,208,garlic,garlic_unpeeled.jpg,b,unpeeled,garlic
136,220,lawnchair,lawnchair_unfolded.jpg,b,unfolded,lawnchair
137,293,eggcarton,eggcarton_full.jpg,b,full,egg carton
138,288,notepad,notepad_whole.jpg,b,whole,notepad
139,147,shoppingcart,shoppingcart_empty.jpg,a,empty,shopping cart
140,103,gloves,gloves_dirty.jpg,a,dirty,gloves
141,98,dish,dish_dirty.jpg,a,dirty,dish
142,225,sleepingbag,sleepingbag_unrolled.jpg,b,unrolled,sleeping bag
143,282,table,table_whole.jpg,b,whole,table
144,142,jar,jar_empty.jpg,a,empty,jar
145,36,laptop,laptop_open.jpg,a,open,laptop
146,215,paper,paper_unfolded.jpg,b,unfolded,paper
147,30,suitcase,suitcase_open.jpg,a,open,suitcase
148,270,chocolatebar,chocolatebar_whole.jpg,b,whole,chocolate bar
149,232,nail,nail_straight.jpg,b,straight,nail
150,61,banana,banana_peeled.jpg,a,peeled,banana
151,128,tire,tire_broken.jpg,a,broken,tire
152,178,suitcase,suitcase_closed.jpg,b,closed,suitcase
153,120,cookie,cookie_broken.jpg,a,broken,cookie
154,257,shoe,shoe_clean.jpg,b,clean,shoe
155,204,pineapple,pineapple_unsliced.jpg,b,unsliced,pineapple
156,285,envelope,envelope_whole.jpg,b,whole,envelope
157,201,pickle,pickle_unsliced.jpg,b,unsliced,pickle
