,trial_id,State_1,$images_1,overspec_n,overspec_n_singleton,overspec_n_pair,noun,total_n,singleton_total_n,pair_total_n
83,66,state_B,blanket_unfolded.jpg,0,0,0,blanket,15,8,7.0
84,68,state_A,paper_folded.jpg,2,0,2,paper,15,7,8.0
85,68,state_B,paper_unfolded.jpg,0,0,0,paper,16,8,8.0
86,69,state_A,sweater_folded.jpg,2,0,2,sweater,15,7,8.0
87,69,state_B,sweater_unfolded.jpg,0,0,0,sweater,16,8,8.0
88,70,state_A,napkin_folded.jpg,6,5,1,napkin,15,8,7.0
89,70,state_B,napkin_unfolded.jpg,0,0,0,napkin,12,8,4.0
90,71,state_A,towel_folded.jpg,2,2,0,towel,16,8,8.0
91,71,state_B,towel_unfolded.jpg,0,0,0,towel,16,8,8.0
92,72,state_A,ladder_folded.jpg,1,1,0,ladder,16,8,8.0
93,72,state_B,ladder_unfolded.jpg,0,0,0,ladder,15,8,7.0
94,73,state_A,lawnchair_folded.jpg,4,2,2,lawnchair,15,8,7.0
95,73,state_B,lawnchair_unfolded.jpg,0,0,0,lawnchair,16,8,8.0
96,75,state_A,shoelace_tied.jpg,2,2,0,shoelace,15,8,7.0
97,75,state_B,shoelace_untied.jpg,0,0,0,shoelace,15,7,8.0
98,76,state_A,rug_rolled.jpg,8,3,5,rug,14,6,8.0
99,76,state_B,rug_unrolled.jpg,0,0,0,rug,14,7,7.0
100,77,state_A,bill_rolled.jpg,3,1,2,bill,16,8,8.0
101,77,state_B,bill_unrolled.jpg,0,0,0,bill,16,8,8.0
102,78,state_A,sleepingbag_rolled.jpg,7,4,3,sleepingbag,15,7,8.0
103,78,state_B,sleepingbag_unrolled.jpg,0,0,0,sleepingbag,16,8,8.0
104,79,state_A,yogamat_rolled.jpg,1,1,0,yogamat,15,8,7.0
105,79,state_B,yogamat_unrolled.jpg,0,0,0,yogamat,10,6,4.0
106,80,state_A,straw_bent.jpg,2,1,1,straw,14,7,7.0
107,80,state_B,straw_straight.jpg,0,0,0,straw,13,6,7.0
108,82,state_A,waterpipe_bent.jpg,1,1,0,waterpipe,15,7,8.0
109,82,state_B,waterpipe_straight.jpg,0,0,0,waterpipe,5,3,2.0
110,84,state_A,safetypin_bent.jpg,5,2,3,safetypin,9,5,4.0
111,84,state_B,safetypin_straight.jpg,0,0,0,safetypin,13,8,5.0
112,85,state_A,nail_bent.jpg,8,4,4,nail,14,8,6.0
113,85,state_B,nail_straight.jpg,0,0,0,nail,14,7,7.0
114,87,state_A,paperclip_bent.jpg,5,3,2,paperclip,15,7,8.0
115,87,state_B,paperclip_straight.jpg,0,0,0,paperclip,15,8,7.0
116,92,state_A,magnet_bent.jpg,1,0,1,magnet,14,8,6.0
117,92,state_B,magnet_straight.jpg,0,0,0,magnet,15,7,8.0
118,94,state_A,road_curved.jpg,5,3,2,road,16,8,8.0
119,94,state_B,road_straight.jpg,0,0,0,road,16,8,8.0
120,97,state_A,staircase_curved.jpg,1,0,1,staircase,16,8,8.0
121,97,state_B,staircase_straight.jpg,0,0,0,staircase,14,8,6.0
122,98,state_A,boot_dirty.jpg,6,5,1,boot,16,8,8.0
123,98,state_B,boot_clean.jpg,0,0,0,boot,16,8,8.0
124,99,state_A,dish_dirty.jpg,7,4,3,dish,16,8,8.0
125,99,state_B,dish_clean.jpg,0,0,0,dish,14,6,8.0
126,100,state_A,car_dirty.jpg,4,2,2,car,16,8,8.0
127,100,state_B,car_clean.jpg,0,0,0,car,16,8,8.0
128,104,state_A,gloves_dirty.jpg,7,3,4,gloves,16,8,8.0
129,104,state_B,gloves_clean.jpg,0,0,0,gloves,16,8,8.0
130,106,state_A,spoon_dirty.jpg,5,2,3,spoon,15,7,8.0
131,106,state_B,spoon_clean.jpg,0,0,0,spoon,16,8,8.0
132,108,state_A,stovetop_dirty.jpg,8,3,5,stovetop,16,8,8.0
133,108,state_B,stovetop_clean.jpg,0,0,0,stovetop,16,8,8.0
134,109,state_A,bucket_dirty.jpg,2,0,2,bucket,16,8,8.0
135,109,state_B,bucket_clean.jpg,0,0,0,bucket,14,6,8.0
136,110,state_A,shoe_dirty.jpg,4,4,0,shoe,16,8,8.0
137,110,state_B,shoe_clean.jpg,0,0,0,shoe,16,8,8.0
138,111,state_A,cup_dirty.jpg,1,1,0,cup,16,8,8.0
139,111,state_B,cup_clean.jpg,0,0,0,cup,15,8,7.0
140,112,state_A,hands_dirty.jpg,9,3,6,hands,16,8,8.0
141,112,state_B,hands_clean.jpg,0,0,0,hands,16,8,8.0
142,113,state_A,soccerball_dirty.jpg,1,1,0,soccerball,16,8,8.0
143,113,state_B,soccerball_clean.jpg,0,0,0,soccerball,16,8,8.0
144,114,state_A,potato_dirty.jpg,2,1,1,potato,15,7,8.0
145,114,state_B,potato_clean.jpg,0,0,0,potato,16,8,8.0
146,115,state_A,couch_dirty.jpg,2,2,0,couch,16,8,8.0
147,115,state_B,couch_clean.jpg,0,0,0,couch,16,8,8.0
148,116,state_A,pig_dirty.jpg,3,2,1,pig,16,8,8.0
149,116,state_B,pig_clean.jpg,0,0,0,pig,15,8,7.0
150,121,state_A,cookie_broken.jpg,8,3,5,cookie,16,8,8.0
151,121,state_B,cookie_whole.jpg,0,0,0,cookie,16,8,8.0
152,122,state_A,cracker_broken.jpg,10,6,4,cracker,16,8,8.0
153,122,state_B,cracker_whole.jpg,0,0,0,cracker,16,8,8.0
154,123,state_A,chocolatebar_broken.jpg,4,4,0,chocolatebar,16,8,8.0
155,123,state_B,chocolatebar_whole.jpg,0,0,0,chocolatebar,15,7,8.0
156,124,state_A,vase_broken.jpg,11,5,6,vase,16,8,8.0
157,124,state_B,vase_whole.jpg,0,0,0,vase,14,8,6.0
158,125,state_A,glasses_broken.jpg,12,6,6,glasses,16,8,8.0
159,125,state_B,glasses_whole.jpg,0,0,0,glasses,16,8,8.0
160,126,state_A,egg_broken.jpg,11,5,6,egg,16,8,8.0
161,126,state_B,egg_whole.jpg,0,0,0,egg,16,8,8.0
162,127,state_A,fence_broken.jpg,10,7,3,fence,16,8,8.0
163,127,state_B,fence_whole.jpg,0,0,0,fence,16,8,8.0
164,128,state_A,mirror_broken.jpg,13,7,6,mirror,16,8,8.0
165,128,state_B,mirror_whole.jpg,0,0,0,mirror,11,5,6.0
166,129,state_A,tire_broken.jpg,12,6,6,tire,16,8,8.0
167,129,state_B,tire_whole.jpg,1,1,0,tire,16,8,8.0
168,130,state_A,cigarette_broken.jpg,8,5,3,cigarette,15,8,7.0
169,130,state_B,cigarette_whole.jpg,0,0,0,cigarette,16,8,8.0
170,131,state_A,pencil_broken.jpg,12,6,6,pencil,16,8,8.0
171,131,state_B,pencil_whole.jpg,0,0,0,pencil,16,8,8.0
172,132,state_A,piggybank_broken.jpg,11,6,5,piggybank,16,8,8.0
173,132,state_B,piggybank_whole.jpg,0,0,0,piggybank,16,8,8.0
174,134,state_A,plate_broken.jpg,15,8,7,plate,16,8,8.0
175,134,state_B,plate_whole.jpg,0,0,0,plate,16,8,8.0
176,135,state_A,table_broken.jpg,14,7,7,table,16,8,8.0
177,135,state_B,table_whole.jpg,0,0,0,table,14,7,7.0
178,136,state_A,chain_broken.jpg,9,4,5,chain,16,8,8.0
